order_id,item_index,invoice_number,invoice_date,order_date,seller_name,seller_tax_id,buyer_name,buyer_tax_id,item_description,item_asin,item_qty,item_unit_price_net,item_vat_rate,item_vat_amount,item_total_gross,subtotal_net,shipping_net,total_vat,total_gross,is_official_invoice,document_type,source_file
408-3718500-4017131,1,DE600002VXBURI,2026-01-10,2026-01-08,Ning Bo Tuo Bei Chuang Yi Ke Ji You Xian Gong Si,DE359593874,LAYERONE SLU,ESB67716035,"OOOK Mesa infantil con 2 sillas, juego de sillas de madera maciza, grupo de asientos para niños a partir de 3 años para habitaciones infantiles, guarderías",B0FGDN6X3P,2,92.43,0,0.0,184.86,184.86,0.0,0.0,184.86,True,invoice,20260110_Tax Invoice_408-3718500-4017131.pdf
408-3298377-7334730,1,ES60001TJVZD5I,2026-01-08,2026-01-07,GFY LOGISTIC SL,ESB42892893,LAYERONE SLU,ESB67716035,"Perlana Renew Lana y Delicados Cuidado de las Fibras Detergente Líquido para Lavadora y a Mano - 3 Botes de 1,44L",B0B3RNQC6R,2,23.4,10,4.68,51.48,46.8,0,4.68,51.48,True,invoice,20260108_Tax Invoice_408-3298377-7334730.pdf
171-0889026-8933166,1,ES6000LLD4YSFI,2026-01-08,2026-01-08,Spanish Aosom S.L,ESB66295775,LAYERONE SLU,ESB67716035,"PawHut Barrera de Seguridad para Perros Extensible 74-147,5 cm, para Puertas y Escaleras, Barrera para Perros, Cierre Automático Montaje a Presión Doble Bloqueo 3 Extensiones 17,5/20,3/30,5 cm Negro",B0CL8Z88YB,1,37.6,21,7.89,45.49,37.6,0,7.89,45.49,True,invoice,20260108_Tax Invoice_171-0889026-8933166.pdf
408-1425651-5112330,1,DE60000E8KFPLI,2026-01-08,2026-01-07,"Space Create Co.,Ltd",DE323358729,LAYERONE SLU,ESB67716035,Lebel Cosmetics IAU Essence Forti - 100ml by IAU,B007ODMVW6,1,31.92,0,0.0,31.92,31.92,0.0,0.0,31.92,True,invoice,20260108_Tax Invoice_408-1425651-5112330_1.pdf
408-7836540-0174704,1,ES600012G16JXI,2026-01-08,2026-01-07,BEST PRICES GLOBAL SL,ESB19908276,LAYERONE SLU,ESB67716035,"Perlan Cuidado 3D Detergente para Lana y Ropa Delicada, 750ml",B00UCC1NM0,4,7.63,21,6.4,36.92,30.52,0.0,6.4,36.92,True,invoice,20260108_Tax Invoice_408-7836540-0174704.pdf
408-8677879-1071558,1,ES60000GVXUVZI,2026-01-07,2026-01-07,"Flopp Proclean, S.L.",ESB56180391,LAYERONE SLU,ESB67716035,Flopp - Cápsulas Lavavajillas Ecológico | 110 Cápsulas con Envase Biodegradable | Etiqueta EU Ecolabel | Abrillantador con Protección del Cristal | Formula Vegana,B01IVN83GA,1,16.95,21,3.56,20.51,16.95,0.0,3.56,20.51,True,invoice,20260107_Tax Invoice_408-8677879-1071558.pdf
408-7662995-9820312,1,ES60000MZM2KPI,2026-01-05,2025-12-31,"PETKIT Network Technology (Shanghai) Co., Ltd",ESN0084604H,LAYERONE SLU,ESB67716035,PETKIT Pura MAX 2 Arenero Gatos Autolimpiable,B0D9QGW2M6,1,495.04,0,0.0,495.04,495.04,0.0,0.0,495.04,True,invoice,20260105_Tax Invoice_408-7662995-9820312.pdf
171-6094560-8591530,1,ES50001RREJ6ZI,2025-12-29,2025-12-29,shenzhenmaitongdakuajingdianshangyouxiangongsi,ESN0094438I,LAYERONE SLU,ESB67716035,"Domueay Leggings Invierno Térmico para Niñas, Algodón Calentitos Mallas con Forro Polar, Suaves Cálido Cintura Alta Largos Pantalon Niños Leggins Invierno Ropa para 8-9 Anos, Gris",B0FJFTB2LG,1,12.28,0,0.0,12.28,24.56,0.0,0.0,24.56,True,invoice,20251229_Tax Invoice_171-6094560-8591530.pdf
171-6094560-8591530,2,ES50001RREJ6ZI,2025-12-29,2025-12-29,shenzhenmaitongdakuajingdianshangyouxiangongsi,ESN0094438I,LAYERONE SLU,ESB67716035,"Domueay Leggings Invierno Térmico para Niñas, Algodón Calentitos Mallas con Forro Polar, Suaves Cálido Cintura Alta Largos Pantalon Niños Leggins Invierno Ropa para 5-6 Anos, Gris",B0FJFSXMHD,1,12.28,0,0.0,12.28,24.56,0.0,0.0,24.56,True,invoice,20251229_Tax Invoice_171-6094560-8591530.pdf
171-4318068-1572364,1,ES615KXAEUI,2026-01-04,2026-01-04,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Sebamed Baby Toallitas Oleosas - Limpieza suave y eficiente y protección higiénica frente a la irritación de la delicada piel del bebé, Dermatológicamente probado, 70 unidades",B009M4MBXY,12,7.02,21,17.64,101.88,84.24,0.0,17.64,101.88,True,invoice,20260104_Tax Invoice_171-4318068-1572364.pdf
